mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,25,113,1,NG,NG,,,pos,-0.0017667610137749312,
28,25,113,1,NG,NG,0.0,25.0,pos+ngs_shank,0.2584906170568836,264.3308399016588
28,25,113,1,NG,NG,1.0,7.0,pos+ngs_shank,0.46858588392674194,117.85714285714293
28,25,113,1,NG,NG,2.0,16.0,pos+ngs_shank,0.08407517802831707,295.9914521128659
28,25,113,1,NG,NG,3.0,32.0,pos+ngs_shank,0.1407979320331485,515.3549754248911
