mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
29,23,371,3,NG,NG,,,pos,0.021969760845935372,
29,23,371,3,NG,NG,0.0,3.0,pos+ngs_shank,0.020253324573430632,781.7942254082822
29,23,371,3,NG,NG,1.0,14.0,pos+ngs_shank,0.030971142401921326,534.6621486103733
29,23,371,3,NG,NG,2.0,14.0,pos+ngs_shank,0.031355272016842684,380.4845989954734
29,23,371,3,NG,NG,3.0,88.0,pos+ngs_shank,0.04445568039011664,198.409090909091
