mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
25,18,25,3,,,pos,-0.006609127134916748,
25,18,25,3,0.0,36.0,pos+ngs_shank,0.033169313396636244,793.1286849080487
25,18,25,3,1.0,23.0,pos+ngs_shank,-0.026510789531603164,530.4665283193079
25,18,25,3,2.0,24.0,pos+ngs_shank,-0.014268125441248503,296.95773796960555
25,18,25,3,3.0,28.0,pos+ngs_shank,0.101104168715434,207.32142857142858
