mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,25,403,3,NG,NG,,,pos,0.009183534970137209,
28,25,403,3,NG,NG,0.0,25.0,pos+ngs_shank,0.02741922024394524,713.3834009396721
28,25,403,3,NG,NG,1.0,8.0,pos+ngs_shank,0.02812030842962455,508.6570048993891
28,25,403,3,NG,NG,2.0,16.0,pos+ngs_shank,0.014266347913460365,301.8014613597402
28,25,403,3,NG,NG,3.0,31.0,pos+ngs_shank,0.0489068106557216,157.25806451612905
