mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,23,258,3,NG,NG,,,pos,0.002592412638827113,
28,23,258,3,NG,NG,0.0,8.0,pos+ngs_shank,0.008969424026805672,816.3650817751794
28,23,258,3,NG,NG,1.0,8.0,pos+ngs_shank,0.010507371171999624,594.7393372129477
28,23,258,3,NG,NG,2.0,9.0,pos+ngs_shank,0.011242488514620608,481.15758726444113
28,23,258,3,NG,NG,3.0,80.0,pos+ngs_shank,0.012351542065243405,201.56249999999983
