mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,25,254,2,NG,NG,,,pos,0.004209188883537085,
28,25,254,2,NG,NG,0.0,25.0,pos+ngs_shank,0.0234547231015369,478.95737282909215
28,25,254,2,NG,NG,1.0,8.0,pos+ngs_shank,0.020623162948049945,285.3098109951711
28,25,254,2,NG,NG,2.0,15.0,pos+ngs_shank,0.04239293597346884,156.00000000000003
28,25,254,2,NG,NG,3.0,32.0,pos+ngs_shank,0.028418306421182017,302.824195085173
