mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,23,271,3,NG,NG,,,pos,0.004110985688001567,
28,23,271,3,NG,NG,0.0,8.0,pos+ngs_shank,0.006437656412774728,786.8394218614349
28,23,271,3,NG,NG,1.0,8.0,pos+ngs_shank,0.00768279365264859,564.0689652444321
28,23,271,3,NG,NG,2.0,9.0,pos+ngs_shank,0.006379964348389955,435.5033984030585
28,23,271,3,NG,NG,3.0,80.0,pos+ngs_shank,0.014487747035828214,175.31249999999991
