mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
20,16,211,1,NG,,,pos,-0.006652217378121295,
20,16,211,1,NG,0.0,28.0,pos+ngs_shank,0.08800939402766073,222.61662054222234
20,16,211,1,NG,1.0,35.0,pos+ngs_shank,0.056644493993534474,173.14285714285703
20,16,211,1,NG,2.0,46.0,pos+ngs_shank,0.06699901974059504,414.97489600806335
20,16,211,1,NG,3.0,55.0,pos+ngs_shank,0.024769588995710235,500.67878986734047
