mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
29,25,478,3,NG,NG,,,pos,0.016098362928108546,
29,25,478,3,NG,NG,0.0,18.0,pos+ngs_shank,0.0131116753665804,828.1656548812948
29,25,478,3,NG,NG,1.0,51.0,pos+ngs_shank,0.028365540989610572,708.042453279979
29,25,478,3,NG,NG,2.0,27.0,pos+ngs_shank,0.029254047628293013,342.4496184888992
29,25,478,3,NG,NG,3.0,57.0,pos+ngs_shank,0.03532377773354062,179.47368421052633
