mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
29,25,377,2,,,pos,0.00017190826525469437,
29,25,377,2,0.0,18.0,pos+ngs_shank,0.0020381238955758606,576.5066200235369
29,25,377,2,1.0,51.0,pos+ngs_shank,0.05441794109712543,489.80989211787266
29,25,377,2,2.0,27.0,pos+ngs_shank,0.09939124555048354,173.3333333333333
29,25,377,2,3.0,58.0,pos+ngs_shank,0.02724026820718207,312.5977731572955
