mouse,day,target_cluster_id,target_shank_id,target_cell_type,cell_type,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um
28,17,143,2,NG,NG,,,pos,0.0005816487106645619,
28,17,143,2,NG,NG,0.0,5.0,pos+ngs_shank,0.014932780550052838,541.5045422082718
28,17,143,2,NG,NG,1.0,6.0,pos+ngs_shank,0.007823836245117588,346.8455273458973
28,17,143,2,NG,NG,2.0,32.0,pos+ngs_shank,0.04700463651188438,131.71874999999966
28,17,143,2,NG,NG,3.0,13.0,pos+ngs_shank,0.021371009974038437,285.1102814934466
