mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um,cell_type,target_cell_type
29,18,104,1,0.0,7.0,pos+ngs_shank,0.0308765435797611,262.3266406701902,NG,NG
29,18,104,1,1.0,17.0,pos+ngs_shank,0.0545639610462486,115.58823529411764,NG,NG
29,18,104,1,2.0,25.0,pos+ngs_shank,0.0360263076853532,302.4613714136291,NG,NG
29,18,104,1,3.0,5.0,pos+ngs_shank,0.0291149104308281,516.9301409198567,NG,NG
29,18,105,1,,,pos,0.0424562359136832,,NG,NG
29,18,105,1,0.0,7.0,pos+ngs_shank,0.0537380540922038,250.0827795846681,NG,NG
29,18,105,1,1.0,17.0,pos+ngs_shank,0.0817072077793945,78.52941176470587,NG,NG
29,18,105,1,2.0,25.0,pos+ngs_shank,0.0551559701194593,294.3002471806946,NG,NG
29,18,105,1,3.0,5.0,pos+ngs_shank,0.0530759100207435,516.0076133068844,NG,NG
29,18,108,1,,,pos,0.0393268045434508,,NG,NG
29,18,108,1,0.0,7.0,pos+ngs_shank,0.053964342278237,250.0827795846681,NG,NG
29,18,108,1,1.0,17.0,pos+ngs_shank,0.0925330149566701,78.52941176470587,NG,NG
29,18,108,1,2.0,25.0,pos+ngs_shank,0.0788750613123723,294.3002471806946,NG,NG
29,18,108,1,3.0,5.0,pos+ngs_shank,0.0604416324294523,516.0076133068844,NG,NG
29,18,115,1,,,pos,0.006310026506844,,NG,NG
29,18,115,1,0.0,7.0,pos+ngs_shank,0.0080849410182674,247.64927952690297,NG,NG
29,18,115,1,1.0,17.0,pos+ngs_shank,0.0140937441906817,69.70588235294107,NG,NG
29,18,115,1,2.0,25.0,pos+ngs_shank,0.0132206160543639,292.96180875795244,NG,NG
29,18,115,1,3.0,5.0,pos+ngs_shank,0.0069897421075424,516.5600284376293,NG,NG
29,18,116,1,,,pos,0.0153014976155798,,NG,NG
29,18,116,1,0.0,7.0,pos+ngs_shank,0.011676482904201,247.64927952690297,NG,NG
29,18,116,1,1.0,17.0,pos+ngs_shank,0.0150441022546389,69.70588235294107,NG,NG
29,18,116,1,2.0,25.0,pos+ngs_shank,0.0134550335684289,292.96180875795244,NG,NG
29,18,116,1,3.0,5.0,pos+ngs_shank,0.0120236622661858,516.5600284376293,NG,NG
29,18,117,1,,,pos,0.0712408849317257,,NG,NG
29,18,117,1,0.0,7.0,pos+ngs_shank,0.0716299733135683,247.64927952690297,NG,NG
29,18,117,1,1.0,17.0,pos+ngs_shank,0.0736642963672572,69.70588235294107,NG,NG
29,18,117,1,2.0,25.0,pos+ngs_shank,0.0705085030650626,292.96180875795244,NG,NG
29,18,117,1,3.0,5.0,pos+ngs_shank,0.0701282286949361,516.5600284376293,NG,NG
29,18,118,1,,,pos,0.0411104051379227,,NG,NG
29,18,118,1,0.0,7.0,pos+ngs_shank,0.0394323504165363,246.08015454513225,NG,NG
29,18,118,1,1.0,17.0,pos+ngs_shank,0.0638750574080039,66.17647058823526,NG,NG
29,18,118,1,2.0,25.0,pos+ngs_shank,0.0435365920936716,292.32479583911913,NG,NG
29,18,118,1,3.0,5.0,pos+ngs_shank,0.0402114231981107,517.5410166011287,NG,NG
29,18,119,1,,,pos,0.1025945714289658,,NG,NG
29,18,119,1,0.0,7.0,pos+ngs_shank,0.1236530342651831,245.57917034399472,NG,NG
29,18,119,1,1.0,17.0,pos+ngs_shank,0.138900894798085,64.4117647058823,NG,NG
29,18,119,1,2.0,25.0,pos+ngs_shank,0.1248674041129996,293.15456103919166,NG,NG
29,18,119,1,3.0,5.0,pos+ngs_shank,0.110945803120029,520.7783817514899,NG,NG
29,18,122,1,,,pos,0.0496634891216019,,NG,NG
29,18,122,1,0.0,7.0,pos+ngs_shank,0.0466178304720479,245.57917034399472,NG,NG
29,18,122,1,1.0,17.0,pos+ngs_shank,0.0557536697184557,64.4117647058823,NG,NG
29,18,122,1,2.0,25.0,pos+ngs_shank,0.0431566584528809,293.15456103919166,NG,NG
29,18,122,1,3.0,5.0,pos+ngs_shank,0.0478139858440314,520.7783817514899,NG,NG
29,18,125,1,,,pos,0.0112561221665736,,NG,NG
29,18,125,1,0.0,7.0,pos+ngs_shank,0.0079935735194293,245.38850926259107,NG,NG
29,18,125,1,1.0,17.0,pos+ngs_shank,0.0093485306912508,64.4117647058823,NG,NG
29,18,125,1,2.0,25.0,pos+ngs_shank,0.0057725319356747,292.3899750540676,NG,NG
29,18,125,1,3.0,5.0,pos+ngs_shank,0.0067679367266443,518.9482382725018,NG,NG
29,18,128,1,,,pos,0.0313637826345845,,NG,NG
29,18,128,1,0.0,7.0,pos+ngs_shank,0.0294425491609417,248.5850613597705,NG,NG
29,18,128,1,1.0,17.0,pos+ngs_shank,0.0328672291008457,71.47058823529414,NG,NG
29,18,128,1,2.0,25.0,pos+ngs_shank,0.0269803375792079,296.7541144473478,NG,NG
29,18,128,1,3.0,5.0,pos+ngs_shank,0.0280579250691567,525.6895550976385,NG,NG
29,18,136,1,,,pos,0.003480511436982,,NG,NG
29,18,136,1,0.0,7.0,pos+ngs_shank,-0.0006972767772824,254.97586905918297,NG,NG
29,18,136,1,1.0,17.0,pos+ngs_shank,0.0010123712260398,82.05882352941174,NG,NG
29,18,136,1,2.0,25.0,pos+ngs_shank,0.0003518312786173,303.0375725642824,NG,NG
29,18,136,1,3.0,5.0,pos+ngs_shank,-0.0008793271645299,532.2302124971053,NG,NG
29,18,137,1,,,pos,0.017073062924062,,NG,NG
29,18,137,1,0.0,7.0,pos+ngs_shank,0.0194059904774862,254.97586905918297,NG,NG
29,18,137,1,1.0,17.0,pos+ngs_shank,0.0347739539362087,82.05882352941174,NG,NG
29,18,137,1,2.0,25.0,pos+ngs_shank,0.0277318528615317,303.0375725642824,NG,NG
29,18,137,1,3.0,5.0,pos+ngs_shank,0.0242303930779522,532.2302124971053,NG,NG
29,18,138,1,,,pos,0.0078808478434604,,NG,NG
29,18,138,1,0.0,7.0,pos+ngs_shank,0.0077344476809391,259.3729731426308,NG,NG
29,18,138,1,1.0,17.0,pos+ngs_shank,0.0183496978444026,90.88235294117652,NG,NG
29,18,138,1,2.0,25.0,pos+ngs_shank,0.01031094970923,307.1470592920751,NG,NG
29,18,138,1,3.0,5.0,pos+ngs_shank,0.0073289563038129,536.0943120972695,NG,NG
29,18,143,1,,,pos,0.0454074031501334,,NG,NG
29,18,143,1,0.0,7.0,pos+ngs_shank,0.0561143506286704,259.3729731426308,NG,NG
29,18,143,1,1.0,17.0,pos+ngs_shank,0.1093630581830225,90.88235294117652,NG,NG
29,18,143,1,2.0,25.0,pos+ngs_shank,0.075333489103271,307.1470592920751,NG,NG
29,18,143,1,3.0,5.0,pos+ngs_shank,0.0547149110500715,536.0943120972695,NG,NG
29,18,148,1,,,pos,0.0118845642166778,,NG,NG
29,18,148,1,0.0,7.0,pos+ngs_shank,0.0112565026560086,276.93453285394327,NG,NG
29,18,148,1,1.0,17.0,pos+ngs_shank,0.0168234200714213,127.94117647058866,NG,NG
29,18,148,1,2.0,25.0,pos+ngs_shank,0.0146701499815993,323.108561895441,NG,NG
29,18,148,1,3.0,5.0,pos+ngs_shank,0.0115884612911357,549.9631291065072,NG,NG
29,18,162,1,,,pos,0.1243217186246333,,NG,NG
29,18,162,1,0.0,7.0,pos+ngs_shank,0.1369962998242685,300.1809127182158,NG,NG
29,18,162,1,1.0,17.0,pos+ngs_shank,0.1350618169057902,170.2941176470588,NG,NG
29,18,162,1,2.0,25.0,pos+ngs_shank,0.1244592579353647,344.0289236848842,NG,NG
