,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module,ramp_cell,speed_modulated,vr_outbound_sign,vr_homebound_sign,shank_id
0,3,PAR,0.5520570056321221,25.660385305252706,34.21384707367028,32.83896947069158,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,9.0,11.0,0.5520570056321221,0.31310224639743284,0.14412704054537395,0.13014659237312468,-3000.0,2433.577689528615,4509.049942102909,32.0,2205.0,0.13013513390926426,3.4132365864374603,3.7230482647594365,2.721246025983477,OF1,GC,0,False,False,,,0
1,11,PAR,1.3275592561620775,36.83322831429742,49.110971085729894,31.34640133582421,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,1.0,2.0,1.3275592561620775,1.3266305302330388,0.7716159131285912,0.797045052617453,-3000.0,2404.172682606693,4514.995155969687,0.0,2235.0,0.3670699179732149,1.8784393349661856,3.044221795432998,1.103880809645595,OF1,GC,1,True,True,-,/,0
2,14,PAR,0.35519287211846856,25.558203087618317,34.077604116824425,38.66932851421622,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,3.0,9.0,0.35519287211846856,-0.13234209954983386,0.35748827308194064,0.35169981627367614,-3000.0,2374.767675684772,4520.940369836466,32.0,2265.0,0.2964721425605962,3.1543458113906944,2.627328367289957,3.352588383780782,OF1,GC,0,True,False,-,/,0
3,15,PAR,0.630278137488272,27.13528246910584,36.18037662547445,34.13226282536171,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,4.0,5.0,0.630278137488272,0.5995750062901695,0.0152138524730313,0.011085177573923116,-3000.0,2374.767675684772,4520.940369836466,32.0,2265.0,0.19551597645185564,23.23061700867397,28.01283898457557,18.269642392420177,OF1,GC,0,True,True,-,/,0
4,32,PAR,-0.5835373565960389,30.894797003388675,41.193062671184904,27.64234428248425,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,12.0,-34.0,-0.5835373565960389,-0.06041543159721988,0.01789564506105953,0.011154596159492132,-3000.0,2271.8501514580453,4541.74861837019,0.0,2370.0,0.37501693425654736,33.28150394399702,39.856811270452326,15.553929603577782,OF2,GC,1,True,True,-,/,0
5,69,ENTm2,0.5035098333600143,25.166716191265095,33.55562158835346,32.449571859604795,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,4.0,0.5035098333600143,-0.26691917744956306,0.437968857004365,0.31419479003769063,-3270.0,2512.2924227150493,4519.248951817465,250.0,2160.0,0.1995843409335247,3.7172078447013246,4.198926614390342,3.4433334728945053,OF1,GC,0,False,False,,,1
6,71,ENTm2,1.062232428641105,26.310129051395315,35.080172068527084,29.58720508665637,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,9.0,1.062232428641105,0.20709887937437405,0.48905554072756924,0.3593607276375148,-3270.0,2497.570030925106,4522.121438542136,250.0,2175.0,0.2710893574903476,2.367369375800774,4.8457612618928545,2.324512922967992,OF1,GC,0,False,False,,,1
7,76,ENTm2,0.5780878466305245,26.025686918711113,34.70091589161482,34.705028350113906,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,8.0,0.5780878466305245,-0.4745763479889443,0.5512635411147105,0.43710097732330877,-3270.0,2468.12524734522,4527.866411991478,282.0,2205.0,0.15255622312769387,2.197609156143243,4.763782218469043,0.8631849940085855,OF1,GC,0,False,False,,,1
8,79,ENTm2,-0.16009392880962964,22.966464590237244,30.62195278698299,35.614753172927436,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,2.0,12.0,-0.16009392880962964,-0.04240542362309805,0.30997939735118,0.32115716111511994,-3270.0,2482.847639135163,4524.993925266807,250.0,2190.0,0.14164288609593964,3.0886571072743507,3.377136691288232,3.197104420116415,OF2,GC,0,False,False,,,1
9,82,ENTm2,0.17939688223062705,27.1124320291268,36.14990937216907,37.081542489719446,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,7.0,-17.0,0.17939688223062705,0.3187444722955769,0.19984672494093436,0.15002500183495943,-3270.0,2482.847639135163,4524.993925266807,250.0,2190.0,0.2328546193261222,8.1345799944545,10.567298646215695,6.463374304496338,OF2,GC,0,True,True,-,/,1
10,83,ENTm2,0.5385658040935971,25.9695713483743,34.62609513116573,32.93286359268317,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,9.0,0.5385658040935971,-0.41213220242119275,0.47599672063095694,0.33529866318475704,-3270.0,2482.847639135163,4524.993925266807,282.0,2190.0,0.14776469440756512,4.040241707296991,5.5595787863392125,2.5524822931805162,OF1,GC,0,False,False,,,1
11,85,ENTm2,0.2289541897330041,25.75208681268757,34.336115750250094,34.29884564922149,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,6.0,0.0,0.2289541897330041,0.7762414800579307,0.06632169574055147,0.04948121801667164,-3270.0,2423.95807197539,4536.483872165491,282.0,2250.0,0.08900016719888057,8.178630066626635,12.988679660514125,5.334040604001772,OF2,GC,0,False,False,,,1
12,87,ENTm2,0.37543021505354734,24.854280613835105,33.13904081844681,32.67431018998713,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,5.0,9.0,0.37543021505354734,0.1560130783372646,0.2568980942039238,0.1851264614445419,-3270.0,2453.4028555552763,4530.738898716149,282.0,2220.0,0.10250873214496367,5.860462818222809,8.02994727780553,5.14867715977557,OF1,GC,0,False,False,,,1
13,88,ENTm2,0.3063534418112591,22.124849142183677,29.499798856244904,29.504788582812818,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,19.0,15.0,0.3063534418112591,-0.22144989945913268,0.103813557140564,0.08023308242382374,-3270.0,2438.680463765333,4533.61138544082,250.0,2235.0,0.03877023980996494,1.6757059618698626,2.844272909033458,1.2245053793211538,OF2,GC,0,True,True,-,/,1
14,89,ENTm2,0.3487961690201603,26.6521679993036,35.536223999071474,34.270717573771854,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,9.0,0.3487961690201603,0.11190728970627133,0.5416103553289632,0.4123718002833696,-3270.0,2438.680463765333,4533.61138544082,250.0,2235.0,0.1806898735266296,4.159511785751372,4.88675078360476,3.6375500965464367,OF2,GC,0,False,False,,,1
15,91,ENTm2,0.5483472616152268,26.831300354143693,35.77506713885826,35.53641620522731,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,5.0,14.0,0.5483472616152268,0.4110148241147009,0.14882246725617426,0.11470168433372661,-3270.0,2423.95807197539,4536.483872165491,250.0,2250.0,0.08769865193713806,10.545226634143688,10.636281012023536,12.053603788130147,OF1,GC,0,False,False,,,1
16,95,ENTm2,0.2571632691090093,24.524079211179384,32.69877228157251,30.64883547551315,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,6.0,-15.0,0.2571632691090093,0.12544187904013035,0.06496976051015835,0.05373423972085965,-3270.0,2409.235680185446,4539.356358890162,282.0,2265.0,0.1451556681601555,16.51156418723637,19.5210097791871,16.056347535987907,OF2,GC,0,False,False,,,1
17,96,PAR,0.6395783858339312,27.146559891477633,36.19541318863685,34.857203136244244,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,2.0,7.0,0.6395783858339312,0.5574191094980816,0.33667896751065746,0.29471533704094177,-3270.0,2394.513288395503,4542.228845614833,250.0,2280.0,0.06572756727386722,4.386459818404307,6.016461991762162,2.4822101814887914,OF1,GC,0,False,False,,,1
18,97,PAR,0.201823870259074,34.280220442210194,45.70696058961359,37.64984792978732,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,1.0,-7.0,0.201823870259074,0.6748009781568277,0.5612168853944319,0.6155822577678978,-3270.0,2394.513288395503,4542.228845614833,250.0,2280.0,0.2285343250061135,5.3808064767928805,3.11720313896883,6.908799894353333,OF2,GC,1,False,False,,,1
19,101,PAR,0.8025962228225458,25.61850519316834,34.158006924224445,33.81009856540767,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,3.0,0.8025962228225458,0.6141021769670654,0.2934014447791705,0.23200085697281006,-3270.0,2379.79089660556,4545.101332339504,282.0,2295.0,0.16206350754933274,5.003933637097937,7.670039282286358,5.493397833664896,OF1,GC,0,False,False,,,1
20,104,PAR,0.9831250811783343,25.61850519316834,34.158006924224445,33.81009856540767,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,11.0,0.9831250811783343,0.0836064494111219,0.4160251586291355,0.3503281091902269,-3270.0,2365.0685048156165,4547.973819064175,250.0,2310.0,0.20101512097349178,4.626030386358031,5.231662612643967,3.9789508281511146,OF1,GC,0,True,False,+,/,1
21,105,PAR,0.7660876268189578,24.00258592584632,32.003447901128425,34.53191538820841,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,13.0,0.7660876268189578,-0.06018295499411579,0.08638527209217821,0.06353583111410616,-3270.0,2350.3461130256733,4550.846305788846,282.0,2325.0,0.0653163788611382,8.70182127470622,11.288114381686036,10.38311949523789,OF1,GC,0,False,False,,,1
22,106,PAR,0.6205208998701015,32.347512137552606,43.13001618340347,30.17924975241165,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,7.0,1.0,0.6205208998701015,0.5006159714082954,0.20388839215023702,0.17961342781967357,-3270.0,2365.0685048156165,4547.973819064175,250.0,2310.0,0.01780493331686425,2.277208409366577,1.455627892988652,1.1276737293522419,OF1,GC,1,False,False,,,1
23,109,PAR,0.5175193565406568,27.334728024988717,36.44630403331829,32.16466755814677,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,31.0,0.5175193565406568,-0.06437799711545074,0.07349112825266028,0.05440080094717701,-3270.0,2335.62372123573,4553.718792513517,282.0,2340.0,0.06848550609609215,10.626371503934466,10.209390139560517,5.898430792392001,OF1,GC,0,False,False,,,1
24,110,PAR,0.2977261060038674,25.9695713483743,34.62609513116573,32.93286359268317,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,-32.0,0.2977261060038674,-0.03748497108150503,0.1995785921777433,0.122250911827073,-3270.0,2335.62372123573,4553.718792513517,250.0,2340.0,0.13652409961352505,8.461220295707534,10.488318836087876,9.42974273582969,OF2,GC,0,False,False,,,1
