mouse,day,gc_cluster_id,gc_shank,sc_x,sc_x_bin,cov_shank,shank_dist,pR2,accuracy,precision,recall,n_trials,n_ngs_cells,pR2_ta,pR2_nta,accuracy_ta,precision_ta,recall_ta,accuracy_nta,precision_nta,recall_nta,pR2_pos,pR2_pos_ta,pR2_pos_nta,f1
20,14,34,0,3150.0,3000–3200,0,0,-0.01146484251450528,0.6517857142857143,0.47619047619047616,0.2631578947368421,224,2,-0.02303799302284193,-0.03552705099025988,0.2631578947368421,1.0,0.2631578947368421,0.8513513513513513,0.0,0.0,0.02739604259230808,0.00787560151790323,-0.003294291849198938,0.3389830508474576
20,14,34,0,3150.0,3000–3200,1,1,0.04660317204473419,0.4642857142857143,0.25,0.2894736842105263,224,32,0.027241405874637636,0.021652420668499595,0.2894736842105263,1.0,0.2894736842105263,0.5540540540540541,0.0,0.0,0.02739604259230808,0.00787560151790323,-0.003294291849198938,0.2682926829268293
20,14,34,0,3150.0,3000–3200,2,2,0.051764615799645086,0.38392857142857145,0.35514018691588783,1.0,224,54,0.02594724161399453,0.02869146032369807,1.0,1.0,1.0,0.06756756756756757,0.0,0.0,0.02739604259230808,0.00787560151790323,-0.003294291849198938,0.5241379310344827
20,14,34,0,3150.0,3000–3200,3,3,-0.0031734368405969215,0.5982142857142857,0.3157894736842105,0.15789473684210525,224,21,-0.006259762121938683,-0.01747586877711127,0.15789473684210525,1.0,0.15789473684210525,0.8243243243243243,0.0,0.0,0.02739604259230808,0.00787560151790323,-0.003294291849198938,0.21052631578947367
20,14,103,1,3330.0,3200–3400,0,1,-8.078705541181286e-05,0.42857142857142855,0.6,0.09090909090909091,224,2,0.0015776318548189616,-0.0028575625991524856,0.09090909090909091,1.0,0.09090909090909091,0.9130434782608695,0.0,0.0,0.01647138456761067,0.02552914287965735,0.007101735918208285,0.15789473684210525
20,14,103,1,3330.0,3200–3400,1,0,0.06584844180170667,0.5133928571428571,0.6074766355140186,0.49242424242424243,224,32,0.06764806057735584,0.06206807707459505,0.49242424242424243,1.0,0.49242424242424243,0.5434782608695652,0.0,0.0,0.01647138456761067,0.02552914287965735,0.007101735918208285,0.5439330543933054
20,14,103,1,3330.0,3200–3400,2,1,0.06252477104809542,0.5892857142857143,0.5892857142857143,1.0,224,54,0.07246807497423946,0.05277116847340879,1.0,1.0,1.0,0.0,0.0,0.0,0.01647138456761067,0.02552914287965735,0.007101735918208285,0.7415730337078651
20,14,103,1,3330.0,3200–3400,3,2,0.009911059910745867,0.5267857142857143,0.5970149253731343,0.6060606060606061,224,21,0.012312345070264241,0.006325918419084697,0.6060606060606061,1.0,0.6060606060606061,0.41304347826086957,0.0,0.0,0.01647138456761067,0.02552914287965735,0.007101735918208285,0.6015037593984962
20,14,400,3,3655.779116835892,3600–3800,0,3,-0.0016578158870954596,0.5803571428571429,0.11904761904761904,0.3333333333333333,224,2,-0.0069483497622244705,-0.004498897742269303,0.3333333333333333,1.0,0.3333333333333333,0.6185567010309279,0.0,0.0,0.02505600864604194,0.021680673206605605,0.010871350906981103,0.1754385964912281
20,14,400,3,3655.779116835892,3600–3800,1,2,0.06868174624189984,0.5178571428571429,0.0851063829787234,0.26666666666666666,224,32,0.09150187369709684,0.063693532092584,0.26666666666666666,1.0,0.26666666666666666,0.5567010309278351,0.0,0.0,0.02505600864604194,0.021680673206605605,0.010871350906981103,0.12903225806451613
20,14,400,3,3655.779116835892,3600–3800,2,1,0.06517859422650538,0.53125,0.10526315789473684,0.3333333333333333,224,54,0.05213076323398391,0.06893846788852065,0.3333333333333333,1.0,0.3333333333333333,0.5618556701030928,0.0,0.0,0.02505600864604194,0.021680673206605605,0.010871350906981103,0.16
20,14,400,3,3655.779116835892,3600–3800,3,0,0.07247111690267391,0.41964285714285715,0.1323529411764706,0.6,224,21,0.09277455342993157,0.06628620635319771,0.6,1.0,0.6,0.3917525773195876,0.0,0.0,0.02505600864604194,0.021680673206605605,0.010871350906981103,0.21686746987951808
