mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,14,228,2,NG,0,2,pos+ngs_shank,anchored,0.4068420506490882,0.0085729971188853,0.0071929223633744,0.0013800747555109
20,14,228,2,NG,0,2,pos+ngs_shank,non_anchored,0.5931579493509118,0.0064934068346524,0.004430763687416,0.0020626431472364
20,14,228,2,NG,1,32,pos+ngs_shank,anchored,0.4068420506490882,0.045408890060992,0.0071929223633744,0.0382159676976175
20,14,228,2,NG,1,32,pos+ngs_shank,non_anchored,0.5931579493509118,0.041532157093404,0.004430763687416,0.037101393405988
20,14,228,2,NG,2,53,pos+ngs_shank,anchored,0.4068420506490882,0.0479825316063563,0.0071929223633744,0.0407896092429819
20,14,228,2,NG,2,53,pos+ngs_shank,non_anchored,0.5931579493509118,0.0475246395806548,0.004430763687416,0.0430938758932388
20,14,228,2,NG,3,21,pos+ngs_shank,anchored,0.4068420506490882,0.0144002357267962,0.0071929223633744,0.0072073133634218
20,14,228,2,NG,3,21,pos+ngs_shank,non_anchored,0.5931579493509118,0.0136562283343795,0.004430763687416,0.0092254646469635
20,14,228,2,NG,0,2,pos+ngs_shank,anchored,0.4068420506490882,0.0085729971188853,0.0071929223633744,0.0013800747555109
20,14,228,2,NG,0,2,pos+ngs_shank,non_anchored,0.5931579493509118,0.0064934068346524,0.004430763687416,0.0020626431472364
20,14,228,2,NG,1,32,pos+ngs_shank,anchored,0.4068420506490882,0.045408890060992,0.0071929223633744,0.0382159676976175
20,14,228,2,NG,1,32,pos+ngs_shank,non_anchored,0.5931579493509118,0.041532157093404,0.004430763687416,0.037101393405988
20,14,228,2,NG,2,53,pos+ngs_shank,anchored,0.4068420506490882,0.0479825316063563,0.0071929223633744,0.0407896092429819
20,14,228,2,NG,2,53,pos+ngs_shank,non_anchored,0.5931579493509118,0.0475246395806548,0.004430763687416,0.0430938758932388
20,14,228,2,NG,3,21,pos+ngs_shank,anchored,0.4068420506490882,0.0144002357267962,0.0071929223633744,0.0072073133634218
20,14,228,2,NG,3,21,pos+ngs_shank,non_anchored,0.5931579493509118,0.0136562283343795,0.004430763687416,0.0092254646469635
20,20,228,1,NG,1,87,pos+ngs_shank,anchored,0.0330831063575367,0.0068439031841005,0.0027015624810514,0.004142340703049
20,20,228,1,NG,1,87,pos+ngs_shank,non_anchored,0.9669168936424632,0.0119207558709881,0.0007376597149194,0.0111830961560687
20,26,228,3,NG,3,105,pos+ngs_shank,anchored,0.06338617349185381,0.003546874974918457,-0.009295647691284215,0.012842522666202671
20,26,228,3,NG,3,105,pos+ngs_shank,non_anchored,0.9366138265081462,0.0029009106768677073,-0.0010847735195023134,0.003985684196370021
