mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,23,94,1,NG,1,60,pos+ngs_shank,anchored,0.4522751147232819,0.0968381775331878,0.0208122918845201,0.0760258856486676
20,23,94,1,NG,1,60,pos+ngs_shank,non_anchored,0.547724885276718,0.0866736410764535,0.0149944055277024,0.0716792355487511
20,23,94,1,NG,1,60,pos+ngs_shank,anchored,0.4522751147232819,0.0968381775331878,0.0208122918845201,0.0760258856486676
20,23,94,1,NG,1,60,pos+ngs_shank,non_anchored,0.547724885276718,0.0866736410764535,0.0149944055277024,0.0716792355487511
21,15,94,0,NG,0,74,pos+ngs_shank,anchored,0.1423556530674591,0.0191149850867381,0.0024266652896395,0.0166883197970986
21,15,94,0,NG,0,74,pos+ngs_shank,non_anchored,0.8576443469325409,0.0230340179243312,0.0019294238270715,0.0211045940972597
21,15,94,0,NG,1,70,pos+ngs_shank,anchored,0.1423556530674591,0.007381090859557,0.0024266652896395,0.0049544255699175
21,15,94,0,NG,1,70,pos+ngs_shank,non_anchored,0.8576443469325409,0.0116950231058809,0.0019294238270715,0.0097655992788094
21,15,94,0,NG,2,48,pos+ngs_shank,anchored,0.1423556530674591,0.0094237398491952,0.0024266652896395,0.0069970745595556
21,15,94,0,NG,2,48,pos+ngs_shank,non_anchored,0.8576443469325409,0.0091093159969449,0.0019294238270715,0.0071798921698734
20,23,94,1,NG,1,60,pos+ngs_shank,anchored,0.4522751147232819,0.0968381775331878,0.0208122918845201,0.0760258856486676
20,23,94,1,NG,1,60,pos+ngs_shank,non_anchored,0.547724885276718,0.0866736410764535,0.0149944055277024,0.0716792355487511
21,15,94,0,NG,0,74,pos+ngs_shank,anchored,0.1423556530674591,0.0191149850867381,0.0024266652896395,0.0166883197970986
21,15,94,0,NG,0,74,pos+ngs_shank,non_anchored,0.8576443469325409,0.0230340179243312,0.0019294238270715,0.0211045940972597
21,15,94,0,NG,1,70,pos+ngs_shank,anchored,0.1423556530674591,0.007381090859557,0.0024266652896395,0.0049544255699175
21,15,94,0,NG,1,70,pos+ngs_shank,non_anchored,0.8576443469325409,0.0116950231058809,0.0019294238270715,0.0097655992788094
21,15,94,0,NG,2,48,pos+ngs_shank,anchored,0.1423556530674591,0.0094237398491952,0.0024266652896395,0.0069970745595556
21,15,94,0,NG,2,48,pos+ngs_shank,non_anchored,0.8576443469325409,0.0091093159969449,0.0019294238270715,0.0071798921698734
21,16,94,0,NG,0,49,pos+ngs_shank,anchored,0.4847718099118785,0.0240534686705533,-0.0021435247249965,0.0261969933955499
21,16,94,0,NG,0,49,pos+ngs_shank,non_anchored,0.5152281900881214,0.0200250772591502,0.000726365379322,0.0192987118798282
21,16,94,0,NG,1,40,pos+ngs_shank,anchored,0.4847718099118785,0.0131433835432669,-0.0021435247249965,0.0152869082682635
21,16,94,0,NG,1,40,pos+ngs_shank,non_anchored,0.5152281900881214,0.0142819429230418,0.000726365379322,0.0135555775437198
21,16,94,0,NG,2,30,pos+ngs_shank,anchored,0.4847718099118785,0.0116671010142215,-0.0021435247249965,0.013810625739218
21,16,94,0,NG,2,30,pos+ngs_shank,non_anchored,0.5152281900881214,0.0102531670528214,0.000726365379322,0.0095268016734993
21,16,94,0,NG,3,52,pos+ngs_shank,anchored,0.4847718099118785,0.0082840203242943,-0.0021435247249965,0.0104275450492908
21,16,94,0,NG,3,52,pos+ngs_shank,non_anchored,0.5152281900881214,0.00738034246389,0.000726365379322,0.006653977084568
21,18,94,0,NG,0,37,pos+ngs_shank,anchored,0.2847280845959035,0.006547253921942886,-0.0003328722210549362,0.006880126142997822
21,18,94,0,NG,0,37,pos+ngs_shank,non_anchored,0.7152719154040965,0.008963090265008744,-2.6910030810345376e-05,0.00899000029581909
21,18,94,0,NG,1,67,pos+ngs_shank,anchored,0.2847280845959035,0.009276144768028516,-0.0003328722210549362,0.009609016989083452
21,18,94,0,NG,1,67,pos+ngs_shank,non_anchored,0.7152719154040965,0.0073355750144508125,-2.6910030810345376e-05,0.007362485045261158
21,18,94,0,NG,2,45,pos+ngs_shank,anchored,0.2847280845959035,0.008868270817608992,-0.0003328722210549362,0.009201143038663928
21,18,94,0,NG,2,45,pos+ngs_shank,non_anchored,0.7152719154040965,0.009224555691619507,-2.6910030810345376e-05,0.009251465722429852
