mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
21,16,522,3,NG,0,50,pos+ngs_shank,anchored,0.4810530754864751,0.015028444289026721,0.002605127810141439,0.012423316478885282
21,16,522,3,NG,0,50,pos+ngs_shank,non_anchored,0.5189469245135249,0.015889507310146045,0.002192600849793447,0.013696906460352598
21,16,522,3,NG,1,40,pos+ngs_shank,anchored,0.4810530754864751,0.01623118147748137,0.002605127810141439,0.013626053667339932
21,16,522,3,NG,1,40,pos+ngs_shank,non_anchored,0.5189469245135249,0.01559421253490012,0.002192600849793447,0.013401611685106674
21,16,522,3,NG,2,30,pos+ngs_shank,anchored,0.4810530754864751,0.013061623380099863,0.002605127810141439,0.010456495569958424
21,16,522,3,NG,2,30,pos+ngs_shank,non_anchored,0.5189469245135249,0.011437610454691494,0.002192600849793447,0.009245009604898047
21,16,522,3,NG,3,51,pos+ngs_shank,anchored,0.4810530754864751,0.03339100898376124,0.002605127810141439,0.0307858811736198
21,16,522,3,NG,3,51,pos+ngs_shank,non_anchored,0.5189469245135249,0.033974689123167034,0.002192600849793447,0.03178208827337359
