mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
21,16,13,0,NG,0,49,pos+ngs_shank,anchored,0.020220276139307405,0.0008386780753315559,-0.002073286347584302,0.002911964422915858
21,16,13,0,NG,0,49,pos+ngs_shank,non_anchored,0.9797797238606926,0.0024312195800398895,-0.0035748341624384228,0.006006053742478312
21,16,13,0,NG,1,40,pos+ngs_shank,anchored,0.020220276139307405,-0.0027049244201846623,-0.002073286347584302,-0.0006316380726003601
21,16,13,0,NG,1,40,pos+ngs_shank,non_anchored,0.9797797238606926,0.0012510944964319037,-0.0035748341624384228,0.0048259286588703265
21,16,13,0,NG,2,30,pos+ngs_shank,anchored,0.020220276139307405,0.0030800842013317675,-0.002073286347584302,0.00515337054891607
21,16,13,0,NG,2,30,pos+ngs_shank,non_anchored,0.9797797238606926,-0.0009206801461190128,-0.0035748341624384228,0.00265415401631941
21,16,13,0,NG,3,52,pos+ngs_shank,anchored,0.020220276139307405,0.01102519893287468,-0.002073286347584302,0.013098485280458982
21,16,13,0,NG,3,52,pos+ngs_shank,non_anchored,0.9797797238606926,0.0002110922009216365,-0.0035748341624384228,0.0037859263633600593
