mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,16,235,2,NG,0,28,pos+ngs_shank,anchored,0.1151634658403619,0.08957946843059272,0.004352085713281717,0.085227382717311
20,16,235,2,NG,0,28,pos+ngs_shank,non_anchored,0.8848365341596381,0.0883638053194633,0.002129985551604041,0.08623381976785927
20,16,235,2,NG,1,36,pos+ngs_shank,anchored,0.1151634658403619,0.06952040350805855,0.004352085713281717,0.06516831779477683
20,16,235,2,NG,1,36,pos+ngs_shank,non_anchored,0.8848365341596381,0.06834997640769314,0.002129985551604041,0.0662199908560891
20,16,235,2,NG,2,45,pos+ngs_shank,anchored,0.1151634658403619,0.09502662283743257,0.004352085713281717,0.09067453712415086
20,16,235,2,NG,2,45,pos+ngs_shank,non_anchored,0.8848365341596381,0.10855169361328265,0.002129985551604041,0.10642170806167861
20,16,235,2,NG,3,55,pos+ngs_shank,anchored,0.1151634658403619,0.0357226196259548,0.004352085713281717,0.03137053391267308
20,16,235,2,NG,3,55,pos+ngs_shank,non_anchored,0.8848365341596381,0.027476957675312996,0.002129985551604041,0.025346972123708955
