mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,14,416,3,NG,0,2,pos+ngs_shank,anchored,0.2750801461472504,0.0014324612882468,0.0009616425390795,0.0004708187491672
20,14,416,3,NG,0,2,pos+ngs_shank,non_anchored,0.7249198538527496,0.0014252999277514,0.0013056511910882,0.0001196487366631
20,14,416,3,NG,1,32,pos+ngs_shank,anchored,0.2750801461472504,0.0127006924564221,0.0009616425390795,0.0117390499173425
20,14,416,3,NG,1,32,pos+ngs_shank,non_anchored,0.7249198538527496,0.0142151911809461,0.0013056511910882,0.0129095399898578
20,14,416,3,NG,2,54,pos+ngs_shank,anchored,0.2750801461472504,0.0098983220659241,0.0009616425390795,0.0089366795268445
20,14,416,3,NG,2,54,pos+ngs_shank,non_anchored,0.7249198538527496,0.01036440706882,0.0013056511910882,0.0090587558777317
20,14,416,3,NG,3,20,pos+ngs_shank,anchored,0.2750801461472504,0.0144282611368706,0.0009616425390795,0.013466618597791
20,14,416,3,NG,3,20,pos+ngs_shank,non_anchored,0.7249198538527496,0.0111311522646325,0.0013056511910882,0.0098255010735442
20,26,416,3,NG,3,105,pos+ngs_shank,anchored,0.3283630559225011,0.27008688591949215,0.0403612674243472,0.22972561849514495
20,26,416,3,NG,3,105,pos+ngs_shank,non_anchored,0.6716369440774989,0.277918120795425,0.030563748476235775,0.24735437231918922
