mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,14,166,1,NG,0,2,pos+ngs_shank,anchored,0.058426131740058874,0.016447679821736894,0.021187808154389032,-0.004740128332652138
20,14,166,1,NG,0,2,pos+ngs_shank,non_anchored,0.9415738682599412,-0.00076281354391039,-0.004687641634206319,0.003924828090295929
20,14,166,1,NG,1,31,pos+ngs_shank,anchored,0.058426131740058874,0.08967709943913116,0.021187808154389032,0.06848929128474213
20,14,166,1,NG,1,31,pos+ngs_shank,non_anchored,0.9415738682599412,0.06651952457012855,-0.004687641634206319,0.07120716620433487
20,14,166,1,NG,2,54,pos+ngs_shank,anchored,0.058426131740058874,0.06840765801569293,0.021187808154389032,0.0472198498613039
20,14,166,1,NG,2,54,pos+ngs_shank,non_anchored,0.9415738682599412,0.0652430949857008,-0.004687641634206319,0.06993073661990712
20,14,166,1,NG,3,21,pos+ngs_shank,anchored,0.058426131740058874,0.04843837598580325,0.021187808154389032,0.02725056783141422
20,14,166,1,NG,3,21,pos+ngs_shank,non_anchored,0.9415738682599412,0.02007548529742298,-0.004687641634206319,0.024763126931629298
