mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,19,255,2,NG,0,3,pos+ngs_shank,anchored,0.1881040162307205,0.015725013455512,0.0011020067190764,0.0146230067364355
20,19,255,2,NG,0,3,pos+ngs_shank,non_anchored,0.8118959837692794,0.0134167435400633,-0.0002720652404166,0.01368880878048
20,19,255,2,NG,1,25,pos+ngs_shank,anchored,0.1881040162307205,0.0163537121070347,0.0011020067190764,0.0152517053879582
20,19,255,2,NG,1,25,pos+ngs_shank,non_anchored,0.8118959837692794,0.0131270104100068,-0.0002720652404166,0.0133990756504235
20,19,255,2,NG,2,43,pos+ngs_shank,anchored,0.1881040162307205,0.0178288512040422,0.0011020067190764,0.0167268444849657
20,19,255,2,NG,2,43,pos+ngs_shank,non_anchored,0.8118959837692794,0.0130047305924021,-0.0002720652404166,0.0132767958328188
20,19,255,2,NG,3,19,pos+ngs_shank,anchored,0.1881040162307205,0.0037695404738117,0.0011020067190764,0.0026675337547352
20,19,255,2,NG,3,19,pos+ngs_shank,non_anchored,0.8118959837692794,0.0017054059039732,-0.0002720652404166,0.0019774711443899
20,19,255,2,NG,0,3,pos+ngs_shank,anchored,0.1881040162307205,0.015725013455512,0.0011020067190764,0.0146230067364355
20,19,255,2,NG,0,3,pos+ngs_shank,non_anchored,0.8118959837692794,0.0134167435400633,-0.0002720652404166,0.01368880878048
20,19,255,2,NG,1,25,pos+ngs_shank,anchored,0.1881040162307205,0.0163537121070347,0.0011020067190764,0.0152517053879582
20,19,255,2,NG,1,25,pos+ngs_shank,non_anchored,0.8118959837692794,0.0131270104100068,-0.0002720652404166,0.0133990756504235
20,19,255,2,NG,2,43,pos+ngs_shank,anchored,0.1881040162307205,0.0178288512040422,0.0011020067190764,0.0167268444849657
20,19,255,2,NG,2,43,pos+ngs_shank,non_anchored,0.8118959837692794,0.0130047305924021,-0.0002720652404166,0.0132767958328188
20,19,255,2,NG,3,19,pos+ngs_shank,anchored,0.1881040162307205,0.0037695404738117,0.0011020067190764,0.0026675337547352
20,19,255,2,NG,3,19,pos+ngs_shank,non_anchored,0.8118959837692794,0.0017054059039732,-0.0002720652404166,0.0019774711443899
20,20,255,1,NG,1,87,pos+ngs_shank,anchored,0.0489105161761775,0.0056871944643456,-0.0018958079525508,0.0075830024168964
