mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,20,165,1,NG,1,87,pos+ngs_shank,anchored,0.060702185610841695,0.2844786581627178,-0.0034524632222232565,0.28793112138494104
20,20,165,1,NG,1,87,pos+ngs_shank,non_anchored,0.9392978143891583,0.2580887024078071,0.0012942093361073548,0.25679449307169977
20,23,165,1,NG,1,60,pos+ngs_shank,anchored,0.2667219549953005,0.018368508028223984,0.010766974906637916,0.007601533121586068
20,23,165,1,NG,1,60,pos+ngs_shank,non_anchored,0.7332780450046995,0.014738686868743023,0.00592630646405834,0.008812380404684683
