mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,16,149,0,NG,0,27,pos+ngs_shank,anchored,0.1042270791562412,0.3764284547811118,0.0019191067384423,0.3745093480426695
20,16,149,0,NG,0,27,pos+ngs_shank,non_anchored,0.8957729208437588,0.3823194159960533,0.0019431668831239,0.3803762491129294
20,16,149,0,NG,1,36,pos+ngs_shank,anchored,0.1042270791562412,0.3987760217623237,0.0019191067384423,0.3968569150238814
20,16,149,0,NG,1,36,pos+ngs_shank,non_anchored,0.8957729208437588,0.4186910541126167,0.0019431668831239,0.4167478872294928
20,16,149,0,NG,2,46,pos+ngs_shank,anchored,0.1042270791562412,0.3875381666666483,0.0019191067384423,0.385619059928206
20,16,149,0,NG,2,46,pos+ngs_shank,non_anchored,0.8957729208437588,0.3887994523603605,0.0019431668831239,0.3868562854772366
20,16,149,0,NG,3,55,pos+ngs_shank,anchored,0.1042270791562412,0.138667077993104,0.0019191067384423,0.1367479712546617
20,16,149,0,NG,3,55,pos+ngs_shank,non_anchored,0.8957729208437588,0.1459000797174809,0.0019431668831239,0.143956912834357
20,16,149,0,NG,0,27,pos+ngs_shank,anchored,0.1042270791562412,0.3764284547811118,0.0019191067384423,0.3745093480426695
20,16,149,0,NG,0,27,pos+ngs_shank,non_anchored,0.8957729208437588,0.3823194159960533,0.0019431668831239,0.3803762491129294
20,16,149,0,NG,1,36,pos+ngs_shank,anchored,0.1042270791562412,0.3987760217623237,0.0019191067384423,0.3968569150238814
20,16,149,0,NG,1,36,pos+ngs_shank,non_anchored,0.8957729208437588,0.4186910541126167,0.0019431668831239,0.4167478872294928
20,16,149,0,NG,2,46,pos+ngs_shank,anchored,0.1042270791562412,0.3875381666666483,0.0019191067384423,0.385619059928206
20,16,149,0,NG,2,46,pos+ngs_shank,non_anchored,0.8957729208437588,0.3887994523603605,0.0019431668831239,0.3868562854772366
20,16,149,0,NG,3,55,pos+ngs_shank,anchored,0.1042270791562412,0.138667077993104,0.0019191067384423,0.1367479712546617
20,16,149,0,NG,3,55,pos+ngs_shank,non_anchored,0.8957729208437588,0.1459000797174809,0.0019431668831239,0.143956912834357
20,18,149,1,NG,0,2,pos+ngs_shank,anchored,0.0799640121050192,0.0023458873910532,-0.0046835050454629,0.0070293924365162
20,18,149,1,NG,0,2,pos+ngs_shank,non_anchored,0.9200359878949808,0.0092049663954377,0.0043237762597937,0.004881190135644
20,18,149,1,NG,1,32,pos+ngs_shank,anchored,0.0799640121050192,0.0831442268944276,-0.0046835050454629,0.0878277319398906
20,18,149,1,NG,1,32,pos+ngs_shank,non_anchored,0.9200359878949808,0.0901336369918387,0.0043237762597937,0.085809860732045
20,18,149,1,NG,2,47,pos+ngs_shank,anchored,0.0799640121050192,0.028098347020143,-0.0046835050454629,0.032781852065606
20,18,149,1,NG,2,47,pos+ngs_shank,non_anchored,0.9200359878949808,0.0373896091626622,0.0043237762597937,0.0330658329028684
20,18,149,1,NG,3,23,pos+ngs_shank,anchored,0.0799640121050192,0.0055721097771591,-0.0046835050454629,0.0102556148226221
20,18,149,1,NG,3,23,pos+ngs_shank,non_anchored,0.9200359878949808,0.0103607086757956,0.0043237762597937,0.0060369324160018
20,16,149,0,NG,0,27,pos+ngs_shank,anchored,0.1042270791562412,0.3764284547811118,0.0019191067384423,0.3745093480426695
20,16,149,0,NG,0,27,pos+ngs_shank,non_anchored,0.8957729208437588,0.3823194159960533,0.0019431668831239,0.3803762491129294
20,16,149,0,NG,1,36,pos+ngs_shank,anchored,0.1042270791562412,0.3987760217623237,0.0019191067384423,0.3968569150238814
20,16,149,0,NG,1,36,pos+ngs_shank,non_anchored,0.8957729208437588,0.4186910541126167,0.0019431668831239,0.4167478872294928
20,16,149,0,NG,2,46,pos+ngs_shank,anchored,0.1042270791562412,0.3875381666666483,0.0019191067384423,0.385619059928206
20,16,149,0,NG,2,46,pos+ngs_shank,non_anchored,0.8957729208437588,0.3887994523603605,0.0019431668831239,0.3868562854772366
20,16,149,0,NG,3,55,pos+ngs_shank,anchored,0.1042270791562412,0.138667077993104,0.0019191067384423,0.1367479712546617
20,16,149,0,NG,3,55,pos+ngs_shank,non_anchored,0.8957729208437588,0.1459000797174809,0.0019431668831239,0.143956912834357
20,18,149,1,NG,0,2,pos+ngs_shank,anchored,0.0799640121050192,0.0023458873910532,-0.0046835050454629,0.0070293924365162
20,18,149,1,NG,0,2,pos+ngs_shank,non_anchored,0.9200359878949808,0.0092049663954377,0.0043237762597937,0.004881190135644
20,18,149,1,NG,1,32,pos+ngs_shank,anchored,0.0799640121050192,0.0831442268944276,-0.0046835050454629,0.0878277319398906
20,18,149,1,NG,1,32,pos+ngs_shank,non_anchored,0.9200359878949808,0.0901336369918387,0.0043237762597937,0.085809860732045
20,18,149,1,NG,2,47,pos+ngs_shank,anchored,0.0799640121050192,0.028098347020143,-0.0046835050454629,0.032781852065606
20,18,149,1,NG,2,47,pos+ngs_shank,non_anchored,0.9200359878949808,0.0373896091626622,0.0043237762597937,0.0330658329028684
20,18,149,1,NG,3,23,pos+ngs_shank,anchored,0.0799640121050192,0.0055721097771591,-0.0046835050454629,0.0102556148226221
20,18,149,1,NG,3,23,pos+ngs_shank,non_anchored,0.9200359878949808,0.0103607086757956,0.0043237762597937,0.0060369324160018
20,21,149,2,NG,2,69,pos+ngs_shank,anchored,0.0272844258566943,0.0260928476266921,0.0220467104511526,0.0040461371755394
20,21,149,2,NG,2,69,pos+ngs_shank,non_anchored,0.9727155741433056,-0.0063514165829556,-0.002765359992966,-0.0035860565899896
20,16,149,0,NG,0,27,pos+ngs_shank,anchored,0.1042270791562412,0.3764284547811118,0.0019191067384423,0.3745093480426695
20,16,149,0,NG,0,27,pos+ngs_shank,non_anchored,0.8957729208437588,0.3823194159960533,0.0019431668831239,0.3803762491129294
20,16,149,0,NG,1,36,pos+ngs_shank,anchored,0.1042270791562412,0.3987760217623237,0.0019191067384423,0.3968569150238814
