mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,18,513,3,NG,0,2,pos+ngs_shank,anchored,0.41664167507293,0.0021910662327399,0.0019885882236708,0.000202478009069
20,18,513,3,NG,0,2,pos+ngs_shank,non_anchored,0.58335832492707,0.0041197020945006,0.0038467752128997,0.0002729268816008
20,18,513,3,NG,1,33,pos+ngs_shank,anchored,0.41664167507293,0.0045682795471533,0.0019885882236708,0.0025796913234824
20,18,513,3,NG,1,33,pos+ngs_shank,non_anchored,0.58335832492707,0.00556198266039,0.0038467752128997,0.0017152074474903
20,18,513,3,NG,2,47,pos+ngs_shank,anchored,0.41664167507293,0.0052107585243502,0.0019885882236708,0.0032221703006793
20,18,513,3,NG,2,47,pos+ngs_shank,non_anchored,0.58335832492707,0.0047777977102826,0.0038467752128997,0.0009310224973828
20,18,513,3,NG,3,22,pos+ngs_shank,anchored,0.41664167507293,0.0037983024275832,0.0019885882236708,0.0018097142039124
20,18,513,3,NG,3,22,pos+ngs_shank,non_anchored,0.58335832492707,0.0051439219417226,0.0038467752128997,0.0012971467288228
21,16,513,3,GC,0,50,pos+ngs_shank,anchored,0.30463499991784826,0.03002466328958464,0.021862607606869866,0.008162055682714775
21,16,513,3,GC,0,50,pos+ngs_shank,non_anchored,0.6953650000821517,0.02802421338909189,0.012955864421449803,0.015068348967642087
21,16,513,3,GC,1,40,pos+ngs_shank,anchored,0.30463499991784826,0.03458564281538168,0.021862607606869866,0.012723035208511813
21,16,513,3,GC,1,40,pos+ngs_shank,non_anchored,0.6953650000821517,0.030503544307919572,0.012955864421449803,0.01754767988646977
21,16,513,3,GC,2,30,pos+ngs_shank,anchored,0.30463499991784826,0.031384578242886096,0.021862607606869866,0.00952197063601623
21,16,513,3,GC,2,30,pos+ngs_shank,non_anchored,0.6953650000821517,0.02966436841759945,0.012955864421449803,0.01670850399614965
21,16,513,3,GC,3,52,pos+ngs_shank,anchored,0.30463499991784826,0.052292557941844287,0.021862607606869866,0.03042995033497442
21,16,513,3,GC,3,52,pos+ngs_shank,non_anchored,0.6953650000821517,0.05377983939754549,0.012955864421449803,0.04082397497609569
