mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,14,111,1,NG,0,2,pos+ngs_shank,anchored,0.408092712844683,0.0183826225573309,0.0119249148896436,0.0064577076676872
20,14,111,1,NG,0,2,pos+ngs_shank,non_anchored,0.5919072871553169,0.0117069438835425,0.005134169902493,0.0065727739810494
20,14,111,1,NG,1,31,pos+ngs_shank,anchored,0.408092712844683,0.2580448576951664,0.0119249148896436,0.2461199428055227
20,14,111,1,NG,1,31,pos+ngs_shank,non_anchored,0.5919072871553169,0.2453405664608925,0.005134169902493,0.2402063965583994
20,14,111,1,NG,2,54,pos+ngs_shank,anchored,0.408092712844683,0.2044580070636545,0.0119249148896436,0.1925330921740109
20,14,111,1,NG,2,54,pos+ngs_shank,non_anchored,0.5919072871553169,0.1933517599741995,0.005134169902493,0.1882175900717064
20,14,111,1,NG,3,21,pos+ngs_shank,anchored,0.408092712844683,0.0365773227141208,0.0119249148896436,0.0246524078244771
20,14,111,1,NG,3,21,pos+ngs_shank,non_anchored,0.5919072871553169,0.0244628840634427,0.005134169902493,0.0193287141609497
20,16,111,0,NG,0,27,pos+ngs_shank,anchored,0.0938596055167995,0.06861691761108057,0.03041129804071019,0.038205619570370386
20,16,111,0,NG,0,27,pos+ngs_shank,non_anchored,0.9061403944832005,0.08816452397244412,-0.002332178064273549,0.09049670203671767
20,16,111,0,NG,1,36,pos+ngs_shank,anchored,0.0938596055167995,0.11575958942956588,0.03041129804071019,0.08534829138885569
20,16,111,0,NG,1,36,pos+ngs_shank,non_anchored,0.9061403944832005,0.0732049107899595,-0.002332178064273549,0.07553708885423305
20,16,111,0,NG,2,46,pos+ngs_shank,anchored,0.0938596055167995,0.08864582629597306,0.03041129804071019,0.058234528255262874
20,16,111,0,NG,2,46,pos+ngs_shank,non_anchored,0.9061403944832005,0.062189032751518436,-0.002332178064273549,0.06452121081579199
20,16,111,0,NG,3,55,pos+ngs_shank,anchored,0.0938596055167995,0.026425917895165907,0.03041129804071019,-0.003985380145544282
20,16,111,0,NG,3,55,pos+ngs_shank,non_anchored,0.9061403944832005,0.022743926676092152,-0.002332178064273549,0.0250761047403657
20,25,111,0,NG,0,17,pos+ngs_shank,anchored,0.16743052544335826,0.061051074946566586,-0.0036582053409150994,0.06470928028748169
20,25,111,0,NG,0,17,pos+ngs_shank,non_anchored,0.8325694745566418,0.05782952513939166,-0.003436851637807603,0.06126637677719926
