mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,16,374,3,NG,0,28,pos+ngs_shank,anchored,0.084497395703878,0.004232460631298229,0.0032731870578140976,0.0009592735734841318
20,16,374,3,NG,0,28,pos+ngs_shank,non_anchored,0.915502604296122,0.0038947647078326764,0.0006413059933216836,0.0032534587145109928
20,16,374,3,NG,1,36,pos+ngs_shank,anchored,0.084497395703878,0.004243126954649679,0.0032731870578140976,0.000969939896835581
20,16,374,3,NG,1,36,pos+ngs_shank,non_anchored,0.915502604296122,0.0031608179552123916,0.0006413059933216836,0.002519511961890708
20,16,374,3,NG,2,46,pos+ngs_shank,anchored,0.084497395703878,0.010093567286049154,0.0032731870578140976,0.006820380228235057
20,16,374,3,NG,2,46,pos+ngs_shank,non_anchored,0.915502604296122,0.00681696861482517,0.0006413059933216836,0.006175662621503486
20,16,374,3,NG,3,54,pos+ngs_shank,anchored,0.084497395703878,0.005431189399015435,0.0032731870578140976,0.002158002341201337
20,16,374,3,NG,3,54,pos+ngs_shank,non_anchored,0.915502604296122,0.004510796038596054,0.0006413059933216836,0.003869490045274371
20,17,374,3,NG,1,22,pos+ngs_shank,anchored,0.10251388434245641,0.0006726221882473737,0.0015489103058389242,-0.0008762881175915505
20,17,374,3,NG,1,22,pos+ngs_shank,non_anchored,0.8974861156575435,0.0030441949870202434,-0.002354663323769657,0.0053988583107899
20,17,374,3,NG,2,24,pos+ngs_shank,anchored,0.10251388434245641,0.0026539436036733255,0.0015489103058389242,0.0011050332978344013
20,17,374,3,NG,2,24,pos+ngs_shank,non_anchored,0.8974861156575435,0.002856801523687058,-0.002354663323769657,0.005211464847456715
20,17,374,3,NG,3,23,pos+ngs_shank,anchored,0.10251388434245641,0.007100522128247744,0.0015489103058389242,0.0055516118224088196
20,17,374,3,NG,3,23,pos+ngs_shank,non_anchored,0.8974861156575435,0.005834395379166524,-0.002354663323769657,0.00818905870293618
20,18,374,2,NG,0,2,pos+ngs_shank,anchored,0.22928651271844924,0.014500628071220767,0.015755054910552735,-0.001254426839331968
20,18,374,2,NG,0,2,pos+ngs_shank,non_anchored,0.7707134872815508,0.004935129388240367,0.005486685262697133,-0.0005515558744567661
20,18,374,2,NG,1,33,pos+ngs_shank,anchored,0.22928651271844924,0.027980522767178884,0.015755054910552735,0.012225467856626149
20,18,374,2,NG,1,33,pos+ngs_shank,non_anchored,0.7707134872815508,0.017135093505406207,0.005486685262697133,0.011648408242709074
20,18,374,2,NG,2,46,pos+ngs_shank,anchored,0.22928651271844924,0.04290769413852358,0.015755054910552735,0.027152639227970843
20,18,374,2,NG,2,46,pos+ngs_shank,non_anchored,0.7707134872815508,0.029151414413595367,0.005486685262697133,0.023664729150898234
20,18,374,2,NG,3,23,pos+ngs_shank,anchored,0.22928651271844924,0.02143608500727423,0.015755054910552735,0.0056810300967214955
20,18,374,2,NG,3,23,pos+ngs_shank,non_anchored,0.7707134872815508,0.011056352818772486,0.005486685262697133,0.005569667556075353
