mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region
27,18,132,GC,medial,3210.0,,,pos,-0.002240869996621697,
27,18,132,GC,medial,3210.0,medial,23.0,pos+ngs_medial,0.1371893673317149,True
