mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region
21,19,137,GC,lateral,3606.117803350176,,,pos,0.009314664781535531,
21,19,137,GC,lateral,3606.117803350176,lateral,244.0,pos+ngs_lateral,0.04387397024655343,True
