mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region
28,19,147,GC,medial,3360.0,,,pos,0.0017323260606976088,
28,19,147,GC,medial,3360.0,medial,79.0,pos+ngs_medial,0.025188238426475697,True
