mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region
20,14,97,NG,medial,3330.0,,,pos,0.015488950314050653,
20,14,97,NG,medial,3330.0,lateral,75.0,pos+ngs_lateral,0.06995360887856444,False
20,14,97,NG,medial,3330.0,medial,33.0,pos+ngs_medial,0.08969055630886254,True
