mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region
21,21,150,GC,medial,3192.2775415917504,,,pos,0.008646446737524372,
21,21,150,GC,medial,3192.2775415917504,medial,131.0,pos+ngs_medial,0.03553349872077024,True
