mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
21,26,1,172,,pos,0.02452568912395141,
21,26,1,172,103.0,pos+cell,0.023567065704138634,434.9999999999999
21,26,1,172,133.0,pos+cell,0.022103366020931103,254.9999999999999
21,26,1,172,134.0,pos+cell,0.028416540380075274,254.9999999999999
21,26,1,172,142.0,pos+cell,0.022726404685128942,210.00000000000034
21,26,1,172,147.0,pos+cell,0.026488477275401257,134.99999999999955
21,26,1,172,149.0,pos+cell,0.04238587742431521,164.99999999999991
21,26,1,172,156.0,pos+cell,0.02310558353605726,105.00000000000023
21,26,1,172,160.0,pos+cell,0.039300426935133505,59.99999999999978
21,26,1,172,161.0,pos+cell,0.02522214503484057,59.99999999999978
21,26,1,172,162.0,pos+cell,0.02490341941380404,74.99999999999989
21,26,1,172,164.0,pos+cell,0.04534823410863489,29.99999999999989
21,26,1,172,166.0,pos+cell,0.026567366330045628,44.999999999999545
21,26,1,172,168.0,pos+cell,0.02824355745571021,15.00000000000011
21,26,1,172,169.0,pos+cell,0.024666817797332007,15.00000000000011
21,26,1,172,170.0,pos+cell,0.02735956991409918,15.00000000000011
21,26,1,172,173.0,pos+cell,0.020384197782027446,15.00000000000011
21,26,1,172,175.0,pos+cell,0.02948719469663763,30.000000000000345
21,26,1,172,178.0,pos+cell,0.06190553463367412,30.000000000000345
21,26,1,172,189.0,pos+cell,0.022003825286773027,90.0
