mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
26,19,0,430,,pos,0.005181771265624746,
26,19,0,430,24.0,pos+cell,0.00643551333063237,768.6151868911429
26,19,0,430,113.0,pos+cell,0.006076585033096815,523.9024225560522
26,19,0,430,114.0,pos+cell,0.006467684690948905,523.9024225560522
26,19,0,430,115.0,pos+cell,0.011516677095641702,522.8736213410277
26,19,0,430,123.0,pos+cell,0.005607269564871764,525.3576618132831
26,19,0,430,124.0,pos+cell,0.00423673847141659,525.3576618132831
26,19,0,430,126.0,pos+cell,0.005939288335447046,525.3576618132831
26,19,0,430,129.0,pos+cell,0.005627386350733632,529.5323613883854
26,19,0,430,132.0,pos+cell,0.00523599027278363,535.3581704701995
26,19,0,430,133.0,pos+cell,0.005999139157333333,538.8740995399752
26,19,0,430,134.0,pos+cell,0.0053477412052231775,535.3581704701995
26,19,0,430,145.0,pos+cell,0.005258282893634203,556.7701437921202
26,19,0,430,148.0,pos+cell,0.004375579364564608,567.8880540651808
26,19,0,430,149.0,pos+cell,0.0056506427766209845,562.1564884301504
26,19,0,430,155.0,pos+cell,0.006696343956675776,562.1564884301504
26,19,0,430,156.0,pos+cell,0.005422165623711695,562.1564884301504
26,19,0,430,157.0,pos+cell,0.005098469820330476,573.9544985586904
26,19,0,430,163.0,pos+cell,0.0047482581132417545,594.0576906439447
26,19,0,430,166.0,pos+cell,0.00484991575169289,594.0576906439447
26,19,0,430,179.0,pos+cell,0.005725431227680766,616.794384872849
26,19,0,430,183.0,pos+cell,0.005069297460803724,616.794384872849
26,19,0,430,185.0,pos+cell,0.005221063456859065,633.2765289684404
26,19,0,430,192.0,pos+cell,0.007299458312051388,659.78779584028
26,19,0,430,195.0,pos+cell,0.006150272041468896,650.7249888193593
26,19,0,430,198.0,pos+cell,0.005493075720504737,669.0641673304541
26,19,0,430,201.0,pos+cell,0.0051526589666241905,669.0641673304541
26,19,0,430,203.0,pos+cell,0.004889131346307274,678.5453444475282
26,19,0,430,215.0,pos+cell,0.004823113897845089,718.3533130254874
26,19,0,430,217.0,pos+cell,0.00575521403494621,708.1345619787769
26,19,0,430,221.0,pos+cell,0.004482976215651124,739.2802792353745
26,19,0,430,224.0,pos+cell,0.0056335586197781675,739.2802792353745
26,19,0,430,227.0,pos+cell,0.005341672254748376,749.9748367326423
26,19,0,430,255.0,pos+cell,0.006608299462805456,200.9485996508706
26,19,0,430,298.0,pos+cell,0.004562573775100343,232.36962595354976
26,19,0,430,302.0,pos+cell,0.005916190806666921,224.7396009040386
26,19,0,430,340.0,pos+cell,0.00440711557723703,337.0803933465327
26,19,0,430,363.0,pos+cell,0.006374885729280755,400.38976739557637
