mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
20,25,0,160,,pos,-0.0011601927919248412,
20,25,0,160,155.0,pos+cell,0.0008201408334066462,104.9999999999998
20,25,0,160,157.0,pos+cell,-0.0006291294373293787,59.99999999999986
20,25,0,160,159.0,pos+cell,0.0014660800406988473,30.000000000000206
20,25,0,160,163.0,pos+cell,0.016909845750652453,15.00000000000028
20,25,0,160,164.0,pos+cell,0.0009548602328433465,44.999999999999936
20,25,0,160,166.0,pos+cell,0.0008904973980772612,60.00000000000022
20,25,0,160,168.0,pos+cell,0.004152455306767877,89.99999999999987
20,25,0,160,170.0,pos+cell,0.0008055504713475825,104.9999999999997
20,25,0,160,178.0,pos+cell,7.819843728646969e-05,209.99999999999986
