mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
28,19,1,135,,pos,0.01651409764154953,
28,19,1,135,27.0,pos+cell,0.016477400570004307,539.9999999999999
28,19,1,135,35.0,pos+cell,0.017575839270494054,510.00000000000034
28,19,1,135,55.0,pos+cell,0.01669248836848993,435.00000000000006
28,19,1,135,56.0,pos+cell,0.016214435540769546,435.00000000000006
28,19,1,135,58.0,pos+cell,0.01607749390293397,449.99999999999994
28,19,1,135,71.0,pos+cell,0.015842018980257333,360.00000000000034
28,19,1,135,99.0,pos+cell,0.01600411672605242,255.0000000000001
28,19,1,135,100.0,pos+cell,0.016657865896232416,240.00000000000085
28,19,1,135,110.0,pos+cell,0.019257206846372464,225.00000000000017
28,19,1,135,115.0,pos+cell,0.018302363826527567,180.00000000000003
28,19,1,135,116.0,pos+cell,0.018638699854414232,150.0
28,19,1,135,128.0,pos+cell,0.016479494243731786,75.00000000000017
28,19,1,135,134.0,pos+cell,0.01891791474495963,29.99999999999996
28,19,1,135,143.0,pos+cell,0.01661437413380662,59.99999999999956
