mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
26,19,0,227,,pos,0.016848230927211615,
26,19,0,227,24.0,pos+cell,0.016917305209724797,370.87097791708806
26,19,0,227,113.0,pos+cell,0.017448891286269086,495.00000000000017
26,19,0,227,114.0,pos+cell,0.01565291658693303,495.00000000000017
26,19,0,227,115.0,pos+cell,0.017045971996139265,509.99999999999994
26,19,0,227,123.0,pos+cell,0.018530095287691083,480.0000000000002
26,19,0,227,124.0,pos+cell,0.01616410167267863,480.0000000000002
26,19,0,227,126.0,pos+cell,0.015565017058460051,480.0000000000002
26,19,0,227,129.0,pos+cell,0.01977332698903711,449.99999999999955
26,19,0,227,132.0,pos+cell,0.015997673326495775,419.9999999999998
26,19,0,227,133.0,pos+cell,0.01774223113102109,404.99999999999994
26,19,0,227,134.0,pos+cell,0.01534932308569259,419.9999999999998
26,19,0,227,145.0,pos+cell,0.015409862551322318,345.0
26,19,0,227,148.0,pos+cell,0.016272488791380657,315.0000000000002
26,19,0,227,149.0,pos+cell,0.016793726018008638,330.0
26,19,0,227,155.0,pos+cell,0.020337736068901113,330.0
26,19,0,227,156.0,pos+cell,0.017890063793419876,330.0
26,19,0,227,157.0,pos+cell,0.016188663474169605,299.9999999999993
26,19,0,227,163.0,pos+cell,0.015865845859903173,255.00000000000023
26,19,0,227,166.0,pos+cell,0.018235193995712752,255.00000000000023
26,19,0,227,179.0,pos+cell,0.01489618579619575,210.00000000000017
26,19,0,227,183.0,pos+cell,0.017101425544614034,210.00000000000017
26,19,0,227,185.0,pos+cell,0.025345647274256023,179.99999999999997
26,19,0,227,192.0,pos+cell,0.016180099158590956,135.00000000000023
26,19,0,227,195.0,pos+cell,0.01745061592581194,150.0000000000002
26,19,0,227,198.0,pos+cell,0.017136493976822754,120.00000000000132
26,19,0,227,201.0,pos+cell,0.017017288518606823,120.00000000000132
26,19,0,227,203.0,pos+cell,0.016986668596886932,105.00000000000001
26,19,0,227,215.0,pos+cell,0.018549174247172485,45.00000000000003
26,19,0,227,217.0,pos+cell,0.01693389797420284,59.999999999999986
26,19,0,227,221.0,pos+cell,0.016265500942556653,15.000000000000261
26,19,0,227,224.0,pos+cell,0.016006097574919033,15.000000000000261
26,19,0,227,255.0,pos+cell,0.01611912797777535,667.596512254468
26,19,0,227,298.0,pos+cell,0.014735156976735575,530.7812869935397
26,19,0,227,302.0,pos+cell,0.015988295730886604,542.5715578612243
26,19,0,227,340.0,pos+cell,0.01631661339864261,424.1786968344172
26,19,0,227,363.0,pos+cell,0.015335320435870214,381.97115461898073
26,19,0,227,430.0,pos+cell,0.01625309062009367,749.9748367326423
