mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
29,23,0,184,,pos,0.11388394567490498,
29,23,0,184,132.0,pos+cell,0.1113916657744419,345.00000000000017
29,23,0,184,144.0,pos+cell,0.12683271625586492,210.00000000000043
29,23,0,184,160.0,pos+cell,0.1406581275471386,89.99999999999999
29,23,0,184,191.0,pos+cell,0.12387430220316278,44.99999999999976
29,23,0,184,194.0,pos+cell,0.11727635243497589,59.99999999999996
29,23,0,184,202.0,pos+cell,0.11907224897504665,89.99999999999999
29,23,0,184,205.0,pos+cell,0.11703130679202056,104.9999999999993
29,23,0,184,210.0,pos+cell,0.12125252293908614,104.9999999999993
29,23,0,184,211.0,pos+cell,0.1539794692828535,119.99999999999997
29,23,0,184,213.0,pos+cell,0.11292570240928859,135.0000000000002
29,23,0,184,214.0,pos+cell,0.13598149891922362,119.99999999999997
29,23,0,184,216.0,pos+cell,0.11281505935590341,164.99999999999972
29,23,0,184,217.0,pos+cell,0.11061966059990211,164.99999999999972
29,23,0,184,219.0,pos+cell,0.11756028374775676,179.99999999999994
29,23,0,184,362.0,pos+cell,0.11207439582962841,302.8892624775161
29,23,0,184,376.0,pos+cell,0.11855876328834199,271.0752509668204
29,23,0,184,389.0,pos+cell,0.1364959672378042,253.99154800630254
29,23,0,184,411.0,pos+cell,0.11686718872942617,243.58059773533262
29,23,0,184,416.0,pos+cell,0.11735281798621974,245.7467785826289
29,23,0,184,420.0,pos+cell,0.11221401262321525,248.80002165268675
